name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Huntington-Ashland, WV-KY-OH Metro Area",142800,55964,143612,130532,607,189,3210,1355,7719,359005,235555,116887,2385,4178
"Huntsville, AL Metro Area",240400,78521,238408,207913,440,91,1716,2676,25572,493980,267054,192188,9315,25423
"Huntsville, TX Micro Area",187200,47193,28340,24848,197,17,933,374,1971,77182,56154,14210,1152,5666
"Huron, SD Micro Area",148100,64167,10147,8792,0,0,457,289,609,20925,13289,5224,59,2353
"Hutchinson, KS Micro Area",119200,57390,28709,25998,66,255,282,444,1664,61881,46767,13265,334,1515
"Hutchinson, MN Micro Area",214300,73296,18781,16668,103,133,390,190,1297,36727,29753,5360,221,1393
"Idaho Falls, ID Metro Area",285000,73337,70228,60382,1568,276,1116,931,5955,158478,91672,58999,1323,6484
"Indiana, PA Micro Area",140700,57170,35567,30257,86,99,2255,316,2554,83394,72014,9414,447,1519
"Indianapolis-Carmel-Anderson, IN Metro Area",223300,73571,1047681,890495,7411,2534,14495,9106,123640,2109957,1411887,517247,20474,160349
"Indianola, MS Micro Area",103800,37403,8599,8025,45,0,117,48,364,25867,22921,2677,69,200
"Iowa City, IA Metro Area",265500,72680,94047,71540,3474,1522,6680,1074,9757,175894,105078,51564,1546,17706
"Iron Mountain, MI-WI Micro Area",129400,59483,13652,12009,44,21,305,200,1073,30511,21337,8702,120,352
"Ithaca, NY Metro Area",264300,69995,48267,30895,2921,504,5714,487,7746,102555,56171,31730,1358,13296
"Jackson, MI Metro Area",166700,62581,68511,60730,236,109,1371,523,5542,160637,133994,22901,580,3162
"Jackson, MS Metro Area",176500,60085,260986,239386,874,247,2805,2087,15587,591397,466778,107815,2975,13829
"Jackson, OH Micro Area",127500,56549,13433,12054,38,0,554,114,673,32563,28031,4038,209,285
"Jackson, TN Metro Area",152200,55807,78595,70462,240,56,1091,2068,4678,180446,130360,43940,844,5302
"Jackson, WY-ID Micro Area",847300,102435,21248,14923,719,570,1819,220,2997,35159,8447,22361,379,3972
"Jacksonville, FL Metro Area",281000,73194,773924,640634,6508,3065,9596,14143,99978,1613587,727174,681428,44480,160505
"Jacksonville, IL Micro Area",118900,62004,16360,14566,127,46,242,93,1286,37781,32800,4490,83,408
"Jacksonville, NC Metro Area",196800,59976,104468,85970,118,157,7368,2192,8663,203686,68837,122484,4409,7956
"Jacksonville, TX Micro Area",138500,56971,19699,17489,71,29,193,190,1727,50824,37841,7717,243,5023
"Jamestown, ND Micro Area",191000,59167,10640,9495,1,2,444,153,545,21609,15362,5505,202,540
"Jamestown-Dunkirk-Fredonia, NY Micro Area",110900,54625,53861,47316,246,270,1918,835,3276,127440,95413,25673,3258,3096
"Janesville-Beloit, WI Metro Area",193000,70630,80958,72865,409,165,1272,814,5433,163817,114950,40005,785,8077
"Jasper, AL Micro Area",124100,52987,25402,23824,33,16,152,390,987,64978,52224,11656,368,730
"Jasper, IN Micro Area",171400,67610,28008,26287,29,29,412,173,1078,55811,45233,8232,171,2175
"Jayuya, PR Micro Area",102300,18363,3540,3369,12,0,72,0,87,14726,0,399,14247,80
"Jefferson, GA Micro Area",280600,82056,36440,31345,190,23,169,515,4198,77033,49476,22346,1158,4053
"Jefferson City, MO Metro Area",189800,70195,71498,64485,398,100,1264,739,4512,150182,112462,33627,1132,2961
